x,y,z,cluster
3.47466,8.83403,-0.654781,5
9.32229,5.27565,-0.74364,1
9.3902,5.23828,-0.746622,1
9.50518,5.22622,-0.75353,1
9.56951,5.18539,-0.75622,1
9.63018,5.14208,-0.75862,1
9.67303,5.08893,-0.759565,1
9.64386,4.99827,-0.754621,1
9.66013,4.93174,-0.753457,1
9.67328,4.86386,-0.752075,1
9.68418,4.79512,-0.750548,1
9.67129,4.71506,-0.747131,1
9.68205,4.647,-0.745676,1
9.70227,4.58367,-0.745022,1
9.70941,4.51437,-0.74335,1
9.70247,4.43894,-0.740586,1
9.70587,4.36868,-0.738696,1
9.717,4.30218,-0.73746,1
9.72766,4.2357,-0.736223,1
9.74705,4.17319,-0.735714,1
9.76604,4.11059,-0.735205,1
9.78832,4.04945,-0.734987,1
9.81021,3.98818,-0.734769,1
9.82523,3.92422,-0.734042,1
9.83241,3.8573,-0.732733,1
9.82984,3.78685,-0.730697,1
9.95961,2.29617,-0.707864,1
9.99103,2.23894,-0.709173,1
10.0504,2.18757,-0.712591,1
10.1319,2.1403,-0.717681,1
10.2162,2.09271,-0.722989,1
10.309,2.04591,-0.728952,1
8.04909,0.391627,-0.550216,7
7.43984,-2.16136,-0.527528,8
7.42071,-2.20527,-0.527092,8
4.23521,-6.4301,-0.524038,9
4.19731,-6.45848,-0.524256,9
8.54533,2.93624,-0.727585,1
8.5443,2.87739,-0.725898,1
8.58734,2.83334,-0.728176,1
8.615,2.78397,-0.729104,1
8.69557,2.75119,-0.734757,1
8.74655,2.70839,-0.737795,1
8.82881,2.67461,-0.743616,1
8.91097,2.63991,-0.749438,1
8.99209,2.60403,-0.755175,1
8.06201,0.442707,-0.646165,7
8.04368,0.392213,-0.644393,7
7.97326,0.339758,-0.638234,7
7.41511,-2.15326,-0.616297,8
7.39793,-2.19759,-0.615959,8
4.25071,-6.45203,-0.616719,9
4.21865,-6.48969,-0.6179,9
7.37144,3.42547,-0.754989,1
7.40137,3.38432,-0.75596,1
7.41292,3.33475,-0.754989,1
7.43598,3.29042,-0.755281,1
7.46606,3.2491,-0.756348,1
7.58702,3.19159,-0.764987,1
7.64877,3.16248,-0.769452,1
7.79052,3.10972,-0.780323,1
7.84559,3.07603,-0.784108,1
7.91819,3.04858,-0.789738,1
8.96934,2.53544,-0.871269,1
6.34344,3.799,-0.770563,1
6.36919,3.76152,-0.770889,1
6.39645,3.72487,-0.771433,1
6.42436,3.68852,-0.772085,1
6.46244,3.65784,-0.774042,1
6.51081,3.63265,-0.777302,1
6.55911,3.607,-0.780563,1
6.61695,3.58611,-0.78502,1
6.67741,3.56604,-0.789802,1
