x,y,z,cluster
1.97678,-1.66537,-0.55975,4
1.99521,-1.6406,-0.592518,4
1.97764,-1.6466,-0.590139,4
1.96452,-1.6562,-0.589188,4
1.9757,-1.60265,-0.612949,4
1.9823,-1.62827,-0.61842,4
1.96482,-1.63421,-0.615933,4
1.95624,-1.64748,-0.61643,4
1.98898,-1.63664,-0.653128,4
1.97297,-1.64387,-0.651048,4
1.96284,-1.65595,-0.651048,4
2.06576,-1.76449,-0.691087,4
2.32604,-1.86404,-0.798357,4
2.24068,-1.79856,-0.803192,4
1.97642,-1.64732,-0.714976,4
1.54455,1.45039,-0.607169,5
1.55482,1.44219,-0.607754,5
1.54813,1.41841,-0.601318,5
2.1801,-1.72581,-0.809606,4
2.06951,-1.65899,-0.770406,4
2.06226,-1.67407,-0.771576,4
1.98547,-1.63203,-0.745247,4
1.98644,-1.65336,-0.749635,4
2.02524,-1.70681,-0.769236,4
2.02928,-1.73163,-0.775086,4
1.52725,1.4495,-0.629165,5
1.5257,1.43032,-0.624614,5
1.53514,1.42158,-0.624918,5
1.54313,1.41149,-0.624614,5
2.01203,-1.61518,-0.780242,4
1.99099,-1.61848,-0.775691,4
1.95453,-1.60888,-0.76477,4
1.94755,-1.62328,-0.765984,4
1.93682,-1.63459,-0.76568,4
1.94922,-1.66562,-0.775085,4
2.00168,-1.73176,-0.801478,4
1.51981,1.44382,-0.651475,5
1.52865,1.43447,-0.651475,5
1.52976,1.41796,-0.648023,5
1.53773,1.40791,-0.647709,5
1.5562,1.40736,-0.652103,5
1.98698,-1.59394,-0.800543,4
1.97421,-1.60371,-0.799288,4
1.957,-1.60976,-0.796149,4
1.94782,-1.62235,-0.796463,4
1.93783,-1.63427,-0.796463,4
1.9357,-1.65291,-0.799915,4
1.94563,-1.68215,-0.808702,4
1.89043,2.02915,-0.909546,5
1.51756,1.44029,-0.675969,5
1.52637,1.43095,-0.675969,5
1.5372,1.42349,-0.676942,5
1.54591,1.41403,-0.676942,5
1.59665,1.44259,-0.696407,5
1.51951,1.44353,-0.702049,5
1.5249,1.43096,-0.700377,5
1.52951,1.41773,-0.69837,5
1.53401,1.4045,-0.696363,5
1.54399,1.39633,-0.697032,5
1.60104,1.43014,-0.72011,5
1.71678,1.93648,-0.908657,5
1.55381,1.49349,-0.749701,5
1.50375,1.42766,-0.719703,5
1.51043,1.41648,-0.718669,5
1.51702,1.40527,-0.717634,5
1.52562,1.39594,-0.717634,5
1.53485,1.38718,-0.717979,5
1.60283,1.4309,-0.747288,5
1.52142,1.46372,-0.758952,5
1.50733,1.43246,-0.74689,5
1.51268,1.41998,-0.745116,5
