x,y,z,cluster
6.48806,2.09674,-0.70763,5
6.57663,2.08088,-0.716325,5
6.6415,2.05666,-0.722303,5
6.71774,2.03518,-0.729586,5
6.79491,2.01312,-0.736977,5
6.86156,1.98714,-0.743173,5
6.82308,0.374735,-0.70926,6
5.93851,-2.20979,-0.654914,8
5.93227,-2.249,-0.655783,8
4.24069,-5.43794,-0.716108,7
4.20724,-5.46386,-0.716108,7
4.17604,-5.49274,-0.716543,7
1.92976,4.81539,-0.59427,5
1.97844,4.60604,-0.572973,5
3.7071,3.93619,-0.621012,5
4.34485,3.47233,-0.639888,5
5.42569,2.64346,-0.697607,5
5.43644,2.60755,-0.696881,5
5.7548,2.2968,-0.717209,5
5.92702,2.23999,-0.73427,5
5.98067,2.21843,-0.739474,5
6.05293,2.20309,-0.747097,5
6.11307,2.18261,-0.753147,5
6.17975,2.16376,-0.760044,5
5.99025,-2.18953,-0.739353,8
5.92647,-2.20755,-0.732818,8
5.89703,-2.23789,-0.730761,8
1.8667,4.74991,-0.645382,5
1.89691,4.74113,-0.64578,5
1.92933,4.73766,-0.646975,5
1.94584,4.69552,-0.642593,5
1.98155,4.69993,-0.644983,5
2.91482,4.19169,-0.645647,5
2.93706,4.16886,-0.644851,5
2.95568,4.14108,-0.643257,5
3.93446,3.47785,-0.665165,5
3.96469,3.46146,-0.666759,5
4.71799,2.82677,-0.698492,5
4.74463,2.80331,-0.699952,5
5.03647,2.57292,-0.719338,5
5.15528,2.476,-0.727835,5
5.19457,2.45576,-0.73142,5
5.40642,2.39538,-0.753859,5
5.45373,2.37641,-0.758639,5
5.49463,2.35422,-0.76249,5
5.55099,2.33816,-0.768597,5
5.61011,2.32263,-0.775103,5
5.67291,2.30796,-0.78214,5
5.72102,2.28671,-0.787053,5
2.16496,4.42748,-0.684006,5
3.91381,3.2072,-0.703298,5
4.53305,2.71257,-0.735933,5
4.54535,2.68219,-0.735208,5
4.56257,2.65474,-0.735353,5
4.98109,2.50285,-0.778722,5
5.02385,2.48585,-0.783219,5
5.08436,2.47708,-0.790616,5
5.22061,2.42562,-0.805411,5
5.27859,2.4133,-0.812373,5
5.31314,2.3898,-0.815564,5
2.06624,4.16678,-0.699615,5
2.17298,4.00457,-0.684564,5
2.16083,3.92455,-0.672493,5
2.18198,3.90604,-0.671552,5
2.28577,4.03349,-0.697264,5
2.26568,3.94148,-0.682997,5
2.27589,3.90361,-0.678607,5
2.30584,3.89977,-0.680488,5
3.9028,3.00643,-0.743357,5
3.92511,2.98541,-0.744141,5
4.03021,2.8006,-0.740378,5
4.06768,2.78978,-0.744297,5
4.11335,2.78414,-0.749785,5
4.25941,2.73302,-0.764679,5
4.29028,2.71581,-0.767344,5
4.32362,2.6999,-0.77048,5
4.36449,2.68834,-0.775026,5
4.4037,2.67535,-0.779259,5
4.44206,2.66148,-0.783335,5
4.47786,2.64572,-0.786941,5
4.56309,2.62107,-0.796662,5
4.60487,2.60762,-0.801365,5
4.64149,2.59087,-0.805128,5
5.05969,2.46842,-0.854984,5
3.49675,3.01067,-0.749856,5
3.51816,2.99172,-0.75053,5
3.53871,2.97198,-0.751035,5
3.56447,2.9565,-0.75272,5
3.6296,2.9361,-0.759123,5
3.70868,2.88879,-0.764683,5
3.74821,2.88281,-0.7694,5
3.77603,2.86751,-0.771591,5
3.79986,2.84902,-0.772939,5
3.83312,2.83738,-0.776308,5
3.86478,2.82428,-0.779341,5
4.00742,2.7803,-0.794842,5
4.05205,2.7746,-0.800571,5
4.10166,2.77176,-0.807311,5
4.16748,2.74236,-0.813882,5
4.1958,2.72426,-0.81624,5
4.22986,2.70963,-0.819779,5
4.26474,2.69521,-0.823485,5
4.30879,2.68621,-0.829046,5
2.88253,3.29717,-0.762353,5
2.90205,3.27869,-0.762173,5
2.98164,3.20648,-0.762173,5
3.17109,3.05339,-0.766493,5
3.20545,3.04879,-0.770453,5
3.23771,3.04186,-0.773873,5
3.26425,3.02929,-0.775854,5
3.29075,3.01652,-0.777834,5
3.31576,3.00221,-0.779454,5
3.42943,2.95525,-0.789354,5
3.88169,2.80269,-0.837055,5
3.91163,2.78796,-0.839935,5
3.94797,2.77748,-0.844255,5
4.16301,2.70532,-0.869456,5
2.77663,3.17315,-0.784919,5
2.8019,3.16266,-0.786645,5
2.82453,3.14907,-0.787605,5
2.84578,3.13386,-0.78818,5
3.15036,3.03076,-0.815229,5
3.17601,3.01813,-0.817148,5
3.21164,3.01471,-0.821752,5
3.24519,3.00897,-0.82578,5
3.27661,3.00093,-0.829233,5
3.30588,2.99065,-0.832111,5
1.79979,3.51435,-0.778939,5
1.82268,3.50585,-0.779548,5
1.84461,3.49546,-0.779751,5
1.87343,3.49789,-0.782999,5
1.8869,3.4717,-0.779548,5
1.9077,3.4592,-0.779345,5
1.92554,3.44145,-0.777925,5
1.94807,3.43213,-0.778534,5
1.97056,3.42265,-0.779142,5
2.91018,3.08924,-0.840233,5
2.93652,3.07912,-0.842465,5
2.96624,3.07231,-0.845713,5
2.99051,3.05966,-0.847336,5
3.01681,3.0489,-0.849569,5
3.03961,3.03449,-0.850787,5
3.06654,3.02403,-0.853222,5
3.09767,3.01745,-0.856875,5
3.30761,2.95604,-0.880013,5
3.3323,2.94152,-0.881839,5
3.368,2.93646,-0.88671,5
2.40716,3.24034,-0.849331,5
2.42817,3.22707,-0.849761,5
2.45147,3.21677,-0.851051,5
2.47952,3.21249,-0.854062,5
2.5345,3.20173,-0.859654,5
2.56326,3.19756,-0.86288,5
2.59022,3.19087,-0.865461,5
2.61967,3.18699,-0.868903,5
2.64479,3.17761,-0.870838,5
2.94462,3.05034,-0.894066,5
2.96737,3.03641,-0.895357,5
3.01342,3.04592,-0.90396,5
3.03343,3.02875,-0.90439,5
3.03944,2.99774,-0.900519,5
3.05289,2.97426,-0.899013,5
1.61267,3.45859,-0.845378,5
2.22527,3.28183,-0.879951,5
2.25033,3.27534,-0.881985,5
2.27373,3.26627,-0.883341,5
2.29541,3.25464,-0.884019,5
2.31817,3.24446,-0.885149,5
2.34317,3.23728,-0.887183,5
2.36991,3.23227,-0.889894,5
2.39666,3.22705,-0.892606,5
2.42169,3.21929,-0.89464,5
2.63273,3.12466,-0.907972,5
2.66196,3.0818,-0.904808,5
1.19464,3.60646,-0.890313,5
1.21457,3.59262,-0.888648,5
1.25631,3.57103,-0.886983,5
1.34391,3.54003,-0.887221,5
1.56525,3.46601,-0.891264,5
1.58851,3.46075,-0.892454,5
1.61218,3.45622,-0.893881,5
1.63377,3.44714,-0.894119,5
1.65531,3.43793,-0.894357,5
1.6768,3.42858,-0.894594,5
1.6991,3.42084,-0.895308,5
1.72312,3.41642,-0.896973,5
1.92899,1.39036,-0.599828,9
1.94928,1.3869,-0.603728,9
1.95775,1.37491,-0.603728,9
1.92748,1.39143,-0.62848,9
1.94147,1.38349,-0.630376,9
1.94913,1.371,-0.630105,9
1.96858,1.3667,-0.633898,9
