x,y,z,cluster
18.7475,3.60879,-0.649965,29
18.7929,3.49808,-0.650828,29
18.8405,3.38748,-0.651798,29
18.9161,3.28137,-0.653811,29
18.9773,3.17216,-0.655321,29
19.0378,3.06233,-0.656831,29
19.1313,2.95705,-0.659562,29
19.2143,2.84929,-0.661935,29
19.3284,2.7451,-0.665458,29
19.4073,2.63492,-0.667722,29
19.4845,2.52375,-0.669951,29
19.5602,2.41161,-0.672144,29
19.647,2.30002,-0.674768,29
19.7442,2.18868,-0.677787,29
19.8318,2.07529,-0.680483,29
19.8999,1.95904,-0.682496,29
18.6068,0.34172,-0.632639,30
18.6356,0.227873,-0.633609,30
19.9971,-0.000919873,-0.682532,31
19.9597,-0.12339,-0.681202,31
19.9236,-0.245427,-0.679944,31
19.9387,-0.367985,-0.680555,31
19.8422,-0.488008,-0.677176,31
19.7929,-0.608335,-0.675523,31
19.7258,-0.727449,-0.673258,31
19.689,-0.847095,-0.672108,31
19.6535,-0.966416,-0.671029,31
19.6173,-1.08533,-0.669951,31
19.5774,-1.20366,-0.668765,31
19.5347,-1.3214,-0.667507,31
19.5063,-1.43976,-0.666788,31
19.4682,-1.55711,-0.665745,31
19.4254,-1.67371,-0.664559,31
19.4436,-1.79553,-0.665601,31
19.3159,-1.90334,-0.661396,31
19.3148,-2.02297,-0.661791,31
19.3249,-2.14398,-0.662618,31
19.3054,-2.26181,-0.662402,31
19.2872,-2.37974,-0.662258,31
19.1503,-2.48223,-0.657837,31
19.0832,-2.59269,-0.655968,31
19.0155,-2.70242,-0.654099,31
18.9442,-2.81098,-0.652122,31
18.8249,-2.91143,-0.648419,31
18.7149,-3.01212,-0.645076,31
18.631,-3.11601,-0.642704,31
18.5082,-3.21232,-0.638929,31
18.3976,-3.30955,-0.635622,31
18.3111,-3.41011,-0.633214,31
18.2114,-3.50728,-0.630338,31
18.1062,-3.60238,-0.627283,31
17.979,-3.6919,-0.623437,31
17.8758,-3.78517,-0.620489,31
17.7898,-3.88115,-0.618189,31
17.6954,-3.97446,-0.6156,31
17.5685,-4.05934,-0.611826,31
17.4723,-4.1502,-0.609202,31
17.3756,-4.24003,-0.606578,31
17.2591,-4.32398,-0.603235,31
17.1596,-4.41113,-0.600539,31
17.0694,-4.49978,-0.598203,31
16.9942,-4.59166,-0.596441,31
16.8945,-4.67612,-0.593781,31
16.8078,-4.76334,-0.591624,31
16.7274,-4.85163,-0.589719,31
16.6465,-4.93911,-0.587814,31
16.5719,-5.02781,-0.586161,31
16.4854,-5.11223,-0.584076,31
16.4146,-5.2009,-0.582602,31
16.3282,-5.28399,-0.580553,31
16.2499,-5.36902,-0.578828,31
16.1523,-5.44691,-0.576383,31
16.0931,-5.53714,-0.575413,31
15.9645,-5.60269,-0.571818,31
15.8762,-5.68134,-0.569769,31
15.811,-5.76769,-0.568619,31
15.7397,-5.85136,-0.567253,31
15.6483,-5.92694,-0.565132,31
15.5343,-5.99299,-0.562149,31
15.4703,-6.0776,-0.561106,31
15.4169,-6.1661,-0.560495,31
15.3344,-6.24249,-0.55877,31
15.2394,-6.31313,-0.556577,31
15.124,-6.3743,-0.553594,31
15.057,-6.45517,-0.552515,31
14.9548,-6.52027,-0.550071,31
14.8872,-6.59976,-0.548993,31
14.799,-6.66963,-0.547123,31
14.7269,-6.74616,-0.545901,31
14.6363,-6.81362,-0.54396,31
14.5626,-6.88834,-0.542702,31
14.4921,-6.96414,-0.541588,31
14.4249,-7.0411,-0.540617,31
14.3483,-7.11305,-0.539287,31
14.2526,-7.17489,-0.537202,31
14.1923,-7.25402,-0.536555,31
14.1404,-7.33729,-0.536268,31
14.043,-7.39643,-0.534147,31
13.9806,-7.47351,-0.533464,31
13.9547,-7.57011,-0.534291,31
13.9036,-7.65318,-0.534111,31
13.8659,-7.74371,-0.534506,31
13.8103,-7.82421,-0.534183,31
13.743,-7.89785,-0.533392,31
13.6511,-7.95686,-0.531595,31
13.5857,-8.03081,-0.530912,31
13.447,-8.06058,-0.527173,31
13.3546,-8.11698,-0.525376,31
13.2807,-8.18409,-0.524369,31
13.2387,-8.27072,-0.524729,31
13.1945,-8.35608,-0.525016,31
13.1136,-8.41798,-0.523758,31
13.0156,-8.46831,-0.521781,31
12.9442,-8.53536,-0.520955,31
12.8592,-8.59297,-0.519553,31
12.8062,-8.67171,-0.519553,31
12.7379,-8.73995,-0.518906,31
12.6808,-8.81566,-0.518762,31
12.5954,-8.87143,-0.517396,31
12.5432,-8.95029,-0.517504,31
12.4726,-9.01596,-0.516821,31
12.3937,-9.0752,-0.515778,31
12.3281,-9.14393,-0.515347,31
12.2646,-9.214,-0.515023,31
12.2102,-9.2909,-0.515131,31
12.115,-9.33636,-0.513406,31
12.0441,-9.40007,-0.512795,31
11.9368,-9.43475,-0.51053,31
6.8498,-13.6096,-0.511285,32
6.78126,-13.6818,-0.512507,32
6.7077,-13.7447,-0.51337,32
6.63752,-13.8153,-0.514556,32
6.5633,-13.8784,-0.515455,32
6.48983,-13.9438,-0.516461,32
6.4183,-14.0142,-0.517684,32
6.35066,-14.0943,-0.519301,32
6.26649,-14.1385,-0.519517,32
6.188,-14.1959,-0.520272,32
6.11968,-14.2777,-0.521997,32
6.04554,-14.3472,-0.523255,32
5.96733,-14.4081,-0.52419,32
5.89388,-14.4814,-0.525628,32
5.81197,-14.535,-0.526311,32
5.72632,-14.5797,-0.52667,32
5.6497,-14.6481,-0.527964,32
5.57423,-14.7208,-0.529438,32
5.48867,-14.7678,-0.529941,32
5.40343,-14.8162,-0.530516,32
5.31074,-14.8444,-0.530336,32
5.21227,-14.856,-0.529546,32
3.62798,17.6366,-0.834243,33
3.71893,17.5329,-0.830232,33
3.81578,17.461,-0.827816,33
3.89545,17.3154,-0.821775,33
3.98969,17.2396,-0.819214,33
4.08038,17.1517,-0.816072,33
4.17203,17.071,-0.813318,33
4.266,17.0025,-0.811191,33
4.35282,16.9083,-0.807808,33
4.43813,16.8117,-0.804329,33
4.52347,16.7186,-0.801043,33
4.6009,16.6,-0.7965,33
4.67377,16.4696,-0.791377,33
4.76471,16.4061,-0.789638,33
4.85448,16.3402,-0.787801,33
4.95058,16.2967,-0.787125,33
5.04812,16.2584,-0.786738,33
5.14808,16.2281,-0.786786,33
5.25002,16.2038,-0.787173,33
5.53015,16.0543,-0.784612,34
5.60108,15.9419,-0.7806,34
5.78773,15.8485,-0.779392,34
5.89253,15.8333,-0.780455,34
5.99098,15.8006,-0.780649,34
6.07847,15.7393,-0.779392,34
6.16323,15.6719,-0.777846,34
6.24814,15.606,-0.776396,34
6.33473,15.5452,-0.775236,34
6.42273,15.4885,-0.774318,34
6.51221,15.4359,-0.773641,34
6.59144,15.3598,-0.771757,34
6.6548,15.2486,-0.768035,34
6.74095,15.1911,-0.767166,34
6.83116,15.143,-0.766827,34
6.91979,15.0918,-0.766344,34
7.00424,15.0318,-0.765426,34
7.08609,14.9669,-0.764266,34
7.18125,14.9303,-0.764653,34
7.27536,14.8914,-0.764943,34
7.35727,14.8277,-0.763928,34
7.43823,14.7626,-0.762865,34
7.53458,14.7283,-0.763493,34
7.63034,14.6924,-0.764073,34
7.71662,14.6382,-0.763686,34
7.79734,14.5739,-0.762768,34
7.87423,14.5029,-0.761511,34
7.96066,14.45,-0.76127,34
8.04137,14.3869,-0.760496,34
8.13245,14.3425,-0.760786,34
8.21781,14.288,-0.760545,34
8.3003,14.2287,-0.760062,34
8.38897,14.1801,-0.760207,34
