x,y,z
3.03154,3.02581,-0.797964
3.06472,3.02163,-0.801992
3.24087,3.00496,-0.824629
3.32407,3.00711,-0.836907
3.51043,2.98514,-0.861462
3.56174,2.99132,-0.869903
2.40585,3.07751,-0.770212
2.40341,3.03582,-0.763109
2.43241,3.03401,-0.766559
2.93712,3.00504,-0.831506
2.96859,3.00019,-0.835362
3.00288,2.99782,-0.84003
3.2974,2.9835,-0.882245
3.36947,2.93775,-0.887116
1.74195,3.20514,-0.76373
1.76347,3.19781,-0.764591
2.22327,3.03134,-0.788249
2.25172,3.03098,-0.791905
2.27439,3.02257,-0.793411
2.29821,3.01555,-0.795346
2.32503,3.01221,-0.798357
2.81325,2.9867,-0.863956
2.84567,2.98422,-0.868472
2.87952,2.98287,-0.873419
1.89266,3.02542,-0.787981
1.91901,3.02609,-0.791371
1.94071,3.01917,-0.792727
1.96345,3.01374,-0.794534
1.98513,3.00651,-0.79589
2.00895,3.00237,-0.79815
2.19478,2.99346,-0.821199
2.2253,2.99636,-0.825944
2.25302,2.9951,-0.82956
2.28257,2.99594,-0.833853
2.30984,2.99345,-0.837243
2.56898,2.97418,-0.871817
2.59872,2.97156,-0.875884
2.64274,2.98472,-0.884923
2.66686,2.97498,-0.886957
2.68375,2.95712,-0.886505
2.71121,2.91469,-0.883567
1.5476,3.02187,-0.791365
1.56925,3.01835,-0.79303
1.86915,2.98665,-0.822762
1.8942,2.98579,-0.825854
1.91826,2.9831,-0.828471
1.94342,2.98185,-0.831563
1.9681,2.9796,-0.834417
1.9939,2.97877,-0.837747
2.02141,2.98015,-0.84179
2.39937,2.95564,-0.892216
2.42363,2.94836,-0.894594
2.43981,2.9312,-0.893881
1.29375,3.01419,-0.801953
1.313,3.00797,-0.80245
1.33221,3.00163,-0.802948
1.7272,2.96031,-0.839754
1.74977,2.95716,-0.841992
1.77785,2.96298,-0.846966
2.07194,2.93894,-0.883026
2.10457,2.94666,-0.889492
2.13851,2.95566,-0.896455
1.4565,2.97515,-0.851507
1.4773,2.97135,-0.853067
1.49725,2.96568,-0.854107
1.74995,2.95266,-0.883747
1.77797,2.95842,-0.888947
1.80262,2.95818,-0.892327
1.82581,2.95528,-0.894927
1.74209,-1.62265,-0.600608
1.70469,-1.60749,-0.590468
